id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Baron Samedi,10Cc,rock,chill,0.862,142,0.519,0.519,0.328
2,Donna,10Cc,rock,chill,0.465,192,0.544,0.394,0.172
3,Dreadlock Holiday,10Cc,rock,uplifting,0.55,127,0.898,0.824,0.188
4,Hotel,10Cc,rock,happy,0.782,123,0.755,0.382,0.157
5,Oh Effendi,10Cc,rock,uplifting,0.659,124,0.661,0.593,0.47
6,Old Wild Men,10Cc,rock,relaxed,0.118,115,0.173,0.338,0.884
7,Rubber Bullets,10Cc,rock,chill,0.878,155,0.463,0.559,0.044
8,Sand In My Face,10Cc,rock,happy,0.801,150,0.876,0.586,0.148
9,Silly Love,10Cc,rock,uplifting,0.86,161,0.647,0.433,0.062
10,Somewhere In Hollywood,10Cc,rock,chill,0.54,147,0.074,0.408,0.203
11,The Dean And I,10Cc,rock,uplifting,0.675,108,0.694,0.514,0.385
12,The Things We Do For Love,10Cc,rock,uplifting,0.558,163,0.691,0.443,0.33
13,The Worst Band In The World,10Cc,rock,uplifting,0.453,159,0.698,0.662,0.192
14,3 Leaf Loser,12 Stones,rock,intense,0.808,168,0.396,0.537,0.014
15,Adrenaline,12 Stones,rock,chill,0.952,168,0.568,0.441,0.0
16,Anthem For The Underdog,12 Stones,rock,chill,0.864,120,0.473,0.203,0.001
17,Arms Of A Stranger,12 Stones,rock,intense,0.912,168,0.316,0.363,0.01
18,Back Up,12 Stones,rock,intense,0.932,171,0.416,0.49,0.006
19,Bitter,12 Stones,rock,chill,0.884,153,0.46,0.452,0.001
20,Blind,12 Stones,rock,chill,0.819,143,0.513,0.508,0.004
21,Broken,12 Stones,rock,chill,0.951,122,0.531,0.539,0.004
22,Broken Road,12 Stones,rock,intense,0.795,148,0.228,0.412,0.038
23,Bulletproof,12 Stones,rock,chill,0.941,156,0.604,0.55,0.0
24,Bury Me,12 Stones,rock,chill,0.752,93,0.257,0.157,0.002
25,Crash,12 Stones,rock,intense,0.861,155,0.271,0.479,0.015
26,Disappear,12 Stones,rock,chill,0.965,167,0.505,0.337,0.0
27,Enemy,12 Stones,rock,chill,0.957,175,0.471,0.407,0.001
28,Fade Away,12 Stones,rock,chill,0.901,162,0.514,0.545,0.013
29,Far Away,12 Stones,rock,intense,0.949,185,0.38,0.325,0.0
30,For The Night,12 Stones,rock,intense,0.933,162,0.336,0.394,0.001
31,Games You Play,12 Stones,rock,chill,0.923,167,0.596,0.453,0.0
32,Hey Love,12 Stones,rock,intense,0.963,158,0.302,0.405,0.002
33,Hey Man,12 Stones,rock,chill,0.921,143,0.508,0.455,0.088
34,Home,12 Stones,rock,chill,0.901,109,0.595,0.551,0.019
35,In Closing,12 Stones,rock,intense,0.88,167,0.438,0.469,0.02
36,In My Head,12 Stones,rock,chill,0.842,169,0.55,0.476,0.015
37,Infected,12 Stones,rock,intense,0.992,175,0.372,0.366,0.001
