id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Pixel Bloom,Aria Circuit,electronic,dreamy,0.68,126,0.72,0.81,0.24
12,Backyard Anthem,North Avenue,folk,nostalgic,0.39,96,0.61,0.55,0.78
13,Late Train Notes,Mira Verse,R&B,sad,0.47,84,0.52,0.63,0.41
14,Concrete Crown,Byte Theory,hip-hop,energetic,0.86,138,0.58,0.91,0.12
15,Midnight Sonata,Velvet Chamber,classical,moody,0.18,68,0.33,0.22,0.95
16,Iron Pulse,Wolf Static,metal,intense,0.94,168,0.41,0.69,0.04
17,Sunlit Escape,Juniper Lane,folk,uplifting,0.52,104,0.83,0.67,0.46
18,Neon Drift,Kai Horizon,electronic,moody,0.74,118,0.49,0.77,0.19
19,Soft Gravity,Elara Blue,R&B,dreamy,0.44,90,0.68,0.58,0.73
20,Golden Hour Run,Skyline Dose,hip-hop,uplifting,0.79,130,0.71,0.87,0.16
